COMPILER,COMPILER_CFLAGS,COMPILER_LFLAGS,DISTRIBUTEDMEM,EXAHYPE_CC,MODE,SHAREDMEM,USE_IPO,architecture,dimension,mesh_size,order,timeSteps,totalCores,ranks,nodes,ranksPerNode,cores,consumerTasks,runs,cputime_min,cputime_max,cputime_mean,cputime_stdev,realtime_min,realtime_max,realtime_mean,realtime_stdev,normalised_cputime_min,normalised_cputime_max,normalised_cputime_mean,normalised_cputime_stdev,normalised_realtime_min,normalised_realtime_max,normalised_realtime_mean,normalised_realtime_stdev
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,2,1,1,1,2,1,1,36.7235,36.7235,36.7235,0.0,18.3694,18.3694,18.3694,0.0,1.4102396760382986e-06,1.4102396760382986e-06,1.4102396760382986e-06,0.0,7.054136099505199e-07,7.054136099505199e-07,7.054136099505199e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,8,1,1,1,8,7,1,49.3894,49.3894,49.3894,0.0,6.17455,6.17455,6.17455,0.0,1.8966299904890856e-06,1.8966299904890856e-06,1.8966299904890856e-06,0.0,2.37112350175835e-07,2.37112350175835e-07,2.37112350175835e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,16,1,1,1,16,15,1,78.559,78.559,78.559,0.0,4.910665,4.910665,4.910665,0.0,3.016788125039626e-06,3.016788125039626e-06,3.016788125039626e-06,0.0,1.8857719494962655e-07,1.8857719494962655e-07,1.8857719494962655e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,20,10,5,2,2,1,1,2.8467949999999997,2.8467949999999997,2.8467949999999997,0.0,2.846515,2.846515,2.846515,0.0,1.0932136802176938e-07,1.0932136802176938e-07,1.0932136802176938e-07,0.0,1.0931061558506563e-07,1.0931061558506563e-07,1.0931061558506563e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,20,10,10,1,2,1,1,2.9274750000000003,2.9274750000000003,2.9274750000000003,0.0,2.932865,2.932865,2.932865,0.0,1.1241960585484003e-07,1.1241960585484003e-07,1.1241960585484003e-07,0.0,1.1262659026138751e-07,1.1262659026138751e-07,1.1262659026138751e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,24,1,1,1,24,23,1,133.60899999999998,133.60899999999998,133.60899999999998,0.0,5.568,5.568,5.568,0.0,5.130793984119188e-06,5.130793984119188e-06,5.130793984119188e-06,0.0,2.138198841663035e-07,2.138198841663035e-07,2.138198841663035e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,32,1,1,1,32,31,1,261.903,261.903,261.903,0.0,8.1863,8.1863,8.1863,0.0,1.0057483678665118e-05,1.0057483678665118e-05,1.0057483678665118e-05,0.0,3.143666878144056e-07,3.143666878144056e-07,3.143666878144056e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,40,1,1,1,40,39,1,302.5005,302.5005,302.5005,0.0,7.562900000000001,7.562900000000001,7.562900000000001,0.0,1.1616490996811943e-05,1.1616490996811943e-05,1.1616490996811943e-05,0.0,2.904271555246654e-07,2.904271555246654e-07,2.904271555246654e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,48,1,1,1,48,47,1,456.30600000000004,456.30600000000004,456.30600000000004,0.0,9.50695,9.50695,9.50695,0.0,1.7522862080529686e-05,1.7522862080529686e-05,1.7522862080529686e-05,0.0,3.6508170757450416e-07,3.6508170757450416e-07,3.6508170757450416e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,80,10,5,2,8,7,1,0.8131550000000001,0.8131550000000001,0.8131550000000001,0.0,0.8130499999999999,0.8130499999999999,0.8130499999999999,0.0,3.1226420242322295e-08,3.1226420242322295e-08,3.1226420242322295e-08,0.0,3.122238807855837e-08,3.122238807855837e-08,3.122238807855837e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,80,10,10,1,8,7,1,0.888005,0.888005,0.888005,0.0,0.88859,0.88859,0.88859,0.0,3.410077698259668e-08,3.410077698259668e-08,3.410077698259668e-08,0.0,3.4123241894995613e-08,3.4123241894995613e-08,3.4123241894995613e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,160,10,5,2,16,15,1,0.76787,0.76787,0.76787,0.0,0.7683,0.7683,0.7683,0.0,2.948740561328654e-08,2.948740561328654e-08,2.948740561328654e-08,0.0,2.950391828393875e-08,2.950391828393875e-08,2.950391828393875e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,160,10,10,1,16,15,1,0.721145,0.721145,0.721145,0.0,0.721735,0.721735,0.721735,0.0,2.769309273834571e-08,2.769309273834571e-08,2.769309273834571e-08,0.0,2.771574965854293e-08,2.771574965854293e-08,2.771574965854293e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,240,10,5,2,24,23,1,0.8145849999999999,0.8145849999999999,0.8145849999999999,0.0,0.8145,0.8145,0.8145,0.0,3.12813344726308e-08,3.12813344726308e-08,3.12813344726308e-08,0.0,3.127807034006002e-08,3.127807034006002e-08,3.127807034006002e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,240,10,10,1,24,23,1,0.820905,0.820905,0.820905,0.0,0.8215600000000001,0.8215600000000001,0.8215600000000001,0.0,3.152403232965865e-08,3.152403232965865e-08,3.152403232965865e-08,0.0,3.154918535123353e-08,3.154918535123353e-08,3.154918535123353e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,320,10,10,1,32,31,1,0.93693,0.93693,0.93693,0.0,0.938195,0.938195,0.938195,0.0,3.5979573288781386e-08,3.5979573288781386e-08,3.5979573288781386e-08,0.0,3.60281512617466e-08,3.60281512617466e-08,3.60281512617466e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,400,10,10,1,40,39,1,1.064805,1.064805,1.064805,0.0,1.0670899999999999,1.0670899999999999,1.0670899999999999,0.0,4.089017272983132e-08,4.089017272983132e-08,4.089017272983132e-08,0.0,4.097792029364597e-08,4.097792029364597e-08,4.097792029364597e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,4,6,20,480,10,10,1,48,47,1,1.183535,1.183535,1.183535,0.0,1.18598,1.18598,1.18598,0.0,4.544958990782435e-08,4.544958990782435e-08,4.544958990782435e-08,0.0,4.554348172118402e-08,4.554348172118402e-08,4.554348172118402e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,2,1,1,1,2,1,1,4.71501,4.71501,4.71501,0.0,2.35916,2.35916,2.35916,0.0,1.6295736401556507e-06,1.6295736401556507e-06,1.6295736401556507e-06,0.0,8.15358811308906e-07,8.15358811308906e-07,8.15358811308906e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,8,1,1,1,8,7,1,6.35285,6.35285,6.35285,0.0,0.794195,0.794195,0.794195,0.0,2.195634134362987e-06,2.195634134362987e-06,2.195634134362987e-06,0.0,2.7448494004114884e-07,2.7448494004114884e-07,2.7448494004114884e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,16,1,1,1,16,15,1,9.2767,9.2767,9.2767,0.0,0.579985,0.579985,0.579985,0.0,3.20615773617276e-06,3.20615773617276e-06,3.20615773617276e-06,0.0,2.0045095719535592e-07,2.0045095719535592e-07,2.0045095719535592e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,20,10,5,2,2,1,1,0.395472,0.395472,0.395472,0.0,0.39543,0.39543,0.39543,0.0,1.366806744035825e-07,1.366806744035825e-07,1.366806744035825e-07,0.0,1.366661586140324e-07,1.366661586140324e-07,1.366661586140324e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,20,10,10,1,2,1,1,0.4161105,0.4161105,0.4161105,0.0,0.4160305,0.4160305,0.4160305,0.0,1.4381362970428227e-07,1.4381362970428227e-07,1.4381362970428227e-07,0.0,1.4378598058132974e-07,1.4378598058132974e-07,1.4378598058132974e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,24,1,1,1,24,23,1,13.775899999999998,13.775899999999998,13.775899999999998,0.0,0.574245,0.574245,0.574245,0.0,4.7611444110235665e-06,4.7611444110235665e-06,4.7611444110235665e-06,0.0,1.984671326235112e-07,1.984671326235112e-07,1.984671326235112e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,32,1,1,1,32,31,1,22.0072,22.0072,22.0072,0.0,0.687845,0.687845,0.687845,0.0,7.60599723301402e-06,7.60599723301402e-06,7.60599723301402e-06,0.0,2.3772888721611695e-07,2.3772888721611695e-07,2.3772888721611695e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,40,1,1,1,40,39,1,34.34265,34.34265,34.34265,0.0,0.8587199999999999,0.8587199999999999,0.8587199999999999,0.0,1.1869301904575273e-05,1.1869301904575273e-05,1.1869301904575273e-05,0.0,2.967856857725562e-07,2.967856857725562e-07,2.967856857725562e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,48,1,1,1,48,47,1,46.47125,46.47125,46.47125,0.0,0.96828,0.96828,0.96828,0.0,1.6061116312602366e-05,1.6061116312602366e-05,1.6061116312602366e-05,0.0,3.3465115965605875e-07,3.3465115965605875e-07,3.3465115965605875e-07,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,80,10,5,2,8,7,1,0.10530250000000001,0.10530250000000001,0.10530250000000001,0.0,0.10528850000000001,0.10528850000000001,0.10528850000000001,0.0,3.6394022121372054e-08,3.6394022121372054e-08,3.6394022121372054e-08,0.0,3.6389183524855354e-08,3.6389183524855354e-08,3.6389183524855354e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,80,10,10,1,8,7,1,0.115007,0.115007,0.115007,0.0,0.11498749999999999,0.11498749999999999,0.11498749999999999,0.0,3.974803354253351e-08,3.974803354253351e-08,3.974803354253351e-08,0.0,3.974129406881383e-08,3.974129406881383e-08,3.974129406881383e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,160,10,5,2,16,15,1,0.086295,0.086295,0.086295,0.0,0.086283,0.086283,0.086283,0.0,2.982476331486718e-08,2.982476331486718e-08,2.982476331486718e-08,0.0,2.9820615946424295e-08,2.9820615946424295e-08,2.9820615946424295e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,160,10,10,1,16,15,1,0.10263249999999999,0.10263249999999999,0.10263249999999999,0.0,0.10260849999999999,0.10260849999999999,0.10260849999999999,0.0,3.5471232642831047e-08,3.5471232642831047e-08,3.5471232642831047e-08,0.0,3.546293790594528e-08,3.546293790594528e-08,3.546293790594528e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,240,10,5,2,24,23,1,0.08430299999999999,0.08430299999999999,0.08430299999999999,0.0,0.084283,0.084283,0.084283,0.0,2.913630015334895e-08,2.913630015334895e-08,2.913630015334895e-08,0.0,2.9129387872610814e-08,2.9129387872610814e-08,2.9129387872610814e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,240,10,10,1,24,23,1,0.105142,0.105142,0.105142,0.0,0.1051325,0.1051325,0.1051325,0.0,3.633855106844851e-08,3.633855106844851e-08,3.633855106844851e-08,0.0,3.6335267735097904e-08,3.6335267735097904e-08,3.6335267735097904e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,320,10,5,2,32,31,1,0.0870495,0.0870495,0.0870495,0.0,0.0870345,0.0870345,0.0870345,0.0,3.008552910571331e-08,3.008552910571331e-08,3.008552910571331e-08,0.0,3.008034489515971e-08,3.008034489515971e-08,3.008034489515971e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,320,10,10,1,32,31,1,0.11650450000000001,0.11650450000000001,0.11650450000000001,0.0,0.116493,0.116493,0.116493,0.0,4.026559056280136e-08,4.026559056280136e-08,4.026559056280136e-08,0.0,4.026161600137693e-08,4.026161600137693e-08,4.026161600137693e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,400,10,5,2,40,39,1,0.093413,0.093413,0.093413,0.0,0.093396,0.093396,0.093396,0.0,3.2284844029569355e-08,3.2284844029569355e-08,3.2284844029569355e-08,0.0,3.227896859094194e-08,3.227896859094194e-08,3.227896859094194e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,400,10,10,1,40,39,1,0.12516750000000001,0.12516750000000001,0.12516750000000001,0.0,0.125138,0.125138,0.125138,0.0,4.325964496452445e-08,4.325964496452445e-08,4.325964496452445e-08,0.0,4.3249449350435695e-08,4.3249449350435695e-08,4.3249449350435695e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,480,10,5,2,48,47,1,0.159267,0.159267,0.159267,0.0,0.1592495,0.1592495,0.1592495,0.0,5.504491081602584e-08,5.504491081602584e-08,5.504491081602584e-08,0.0,5.503886257037998e-08,5.503886257037998e-08,5.503886257037998e-08,0.0
Intel,,,MPI,mpicc,Release,TBB,on,skx,2,5,6,20,480,10,10,1,48,47,1,0.1316155,0.1316155,0.1316155,0.0,0.1315815,0.1315815,0.1315815,0.0,4.548816427449911e-08,4.548816427449911e-08,4.548816427449911e-08,0.0,4.547641339724428e-08,4.547641339724428e-08,4.547641339724428e-08,0.0
